X - Plot 0	Y - Plot 0	X - Plot 1	Y - Plot 1	X - Plot 2	Y - Plot 2	X - Plot 3	Y - Plot 3
-3.25285	-4.18182	1.33333	-2.23135	3.66525	-4.35038	4.42541	-6.17063
-3.21212	-4.2014	1.21279	-2.12121	3.67657	-4.30303	4.45736	-6.12121
-3.16516	-4.21939	1.18182	-2.09539	3.68806	-4.24742	4.47677	-6.0905
-3.06061	-4.25868	1.05869	-2	3.70127	-4.18182	4.51515	-6.02831
-2.91177	-4.30303	1.0303	-1.97977	3.70792	-4.1421	4.52673	-6.00926
-2.90909	-4.30385	0.889699	-1.88752	3.72125	-4.06061	4.53224	-6
		0.878788	-1.88032	3.72464	-4.03425	4.57481	-5.92651
		0.876253	-1.87879	3.73655	-3.93939	4.60182	-5.87879
		0.727273	-1.79538	3.73795	-3.9237	4.62164	-5.84277
		0.652497	-1.75758	3.74719	-3.81818	4.66667	-5.75903
		0.575758	-1.72132	3.74759	-3.8102	4.66721	-5.75801
		0.480393	-1.68128	3.7532	-3.69697	4.66743	-5.75758
		0.424242	-1.65719	3.75324	-3.6935	4.71063	-5.67154
		0.368991	-1.63636	3.75459	-3.57576	4.7279	-5.63636
		0.272727	-1.6022	3.75452	-3.57331	4.75272	-5.584
		0.203824	-1.58124	3.75135	-3.45455	4.78462	-5.51515
		0.121212	-1.55514	3.751	-3.44929	4.79344	-5.49536
		-0.0294267	-1.51515	3.74349	-3.33333	4.81818	-5.43857
		-0.030303	-1.51493	3.7422	-3.32103	4.83246	-5.40536
		-0.0306728	-1.51486	3.73099	-3.21212	4.83726	-5.39394
		-0.181818	-1.48215	3.72753	-3.18808	4.86951	-5.31379
		-0.234013	-1.4734	3.71382	-3.09091	4.88568	-5.27273
		-0.333333	-1.45534	3.70634	-3.04992	4.90506	-5.22102
		-0.423046	-1.44338	3.69196	-2.9697	4.93055	-5.15152
		-0.484848	-1.43423	3.67785	-2.90592	4.93906	-5.127
		-0.600386	-1.42272	3.66537	-2.84848	4.9697	-5.03679
		-0.636364	-1.41859	3.64117	-2.75536	4.97141	-5.03167
		-0.768051	-1.4098	3.63399	-2.72727	4.97186	-5.0303
		-0.787879	-1.40817	3.60606	-2.63363	5.00142	-4.93447
		-0.927624	-1.40336	3.5976	-2.60606	5.00908	-4.90909
		-0.939394	-1.40276	3.59428	-2.59664	5.02968	-4.83587
		-1.08036	-1.40238	3.55553	-2.48485	5.04291	-4.78788
		-1.09091	-1.40218	3.53243	-2.42595	5.05615	-4.73583
		-1.22726	-1.40607	3.50835	-2.36364	5.07338	-4.66667
		-1.24242	-1.40625	3.45674	-2.24418	5.08073	-4.63428
		-1.36915	-1.41377	3.45599	-2.24242	5.10051	-4.54545
		-1.39394	-1.41483	3.45455	-2.23937	5.10336	-4.53117
		-1.50667	-1.42497	3.39689	-2.12121	5.12121	-4.44009
		-1.54545	-1.42781	3.35364	-2.04048	5.12387	-4.42637
		-1.64037	-1.43922	3.33219	-2	5.12427	-4.42424
		-1.69697	-1.4451	3.30303	-1.94949	5.14176	-4.31947
		-1.77068	-1.45618	3.26066	-1.87879	5.14446	-4.30303
		-1.84848	-1.46665	3.21489	-1.80828	5.15742	-4.21079
		-1.89796	-1.47557	3.18229	-1.75758	5.16142	-4.18182
		-2	-1.49244	3.15152	-1.71315	5.17073	-4.10022
		-2.02248	-1.49717	3.09609	-1.63636	5.17516	-4.06061
		-2.11414	-1.51515	3.00607	-1.52001	5.18155	-3.98766
		-2.14402	-1.52114	3.00234	-1.51515	5.1857	-3.93939
		-2.15152	-1.52253	3	-1.51229	5.18975	-3.87301
		-2.26184	-1.5481	2.89849	-1.39394	5.19304	-3.81818
		-2.30303	-1.55705	2.84848	-1.33907	5.19518	-3.75614
		-2.37762	-1.57669	2.78498	-1.27273	5.19718	-3.69697
		-2.45455	-1.59594	2.69697	-1.18584	5.19766	-3.63692
		-2.49146	-1.60683	2.6603	-1.15152	5.19814	-3.57576
		-2.59557	-1.63636	2.54545	-1.04954	5.19701	-3.51519
		-2.60329	-1.63858	2.52251	-1.0303	5.19591	-3.45455
		-2.60606	-1.63935	2.39394	-0.927708	5.19303	-3.39079
		-2.7115	-1.67322	2.36911	-0.909091	5.19048	-3.33333
		-2.75758	-1.68754	2.24242	-0.818378	5.18549	-3.26354
		-2.81819	-1.70908	2.19685	-0.787879	5.18187	-3.21212
		-2.90909	-1.74065	2.09091	-0.719964	5.17413	-3.13324
		-2.92331	-1.7462	2.00141	-0.666667	5.17005	-3.09091
		-2.95288	-1.75758	1.93939	-0.631184	5.15869	-2.99968
		-3.0255	-1.78566	1.80903	-0.562379	5.15502	-2.9697
		-3.06061	-1.79903	1.78788	-0.551121	5.13887	-2.86261
